lemma,pos,meaning_ko,meaning_ko_alt,ipa,cefr,ncic_grade,kice_raw_count,kice_years_appeared,csat_first_year
ability,n,능력,재능;역량,/əˈbɪləti/,B1,middle,47,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,1994
acquire,v,습득하다,얻다;취득하다,/əˈkwaɪər/,B2,high_common,29,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,1999
adapt,v,적응하다,조정하다;각색하다,/əˈdæpt/,B1,high_common,34,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,1998
accomplish,v,성취하다,완수하다;이루다,/əˈkɒmplɪʃ/,B2,high_common,18,2014;2016;2017;2018;2020;2021;2022;2023;2024,2001
abandon,v,버리다,포기하다;떠나다,/əˈbændən/,B2,high_extended,12,2015;2018;2019;2021;2022;2023,2003
adolescent,n,청소년,사춘기의,/ˌædəˈlesnt/,B2,high_extended,15,2015;2016;2017;2018;2019;2020;2021;2022,2010
advocate,v,옹호하다,지지하다;변호하다,/ˈædvəkeɪt/,C1,high_extended,11,2017;2018;2019;2020;2021;2022;2023,2014
adequate,adj,충분한,적절한,/ˈædɪkwət/,B2,high_extended,8,2016;2018;2020;2022,2008
abrupt,adj,갑작스러운,퉁명스러운,/əˈbrʌpt/,C1,high_extended,3,2017;2020;2023,2017
aesthetic,adj,미적인,심미적인,/iːsˈθetɪk/,C1,high_extended,6,2019;2021;2023,2019
bear,v,참다,견디다;낳다,/beər/,B1,middle,9,2015;2017;2019;2020;2022;2024,1994
bear,n,곰,,/beər/,A2,elementary,1,2018,2018
bank,n,은행,강둑,/bæŋk/,A2,elementary,7,2014;2016;2018;2020;2022;2024,1994
run,v,달리다,운영하다;흐르다,/rʌn/,A1,elementary,22,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,1994
run,n,달리기,운행;연속,/rʌn/,B1,high_common,4,2017;2019;2021;2023,2010
present,adj,현재의,참석한,/ˈpreznt/,A2,middle,5,2015;2018;2020;2022;2024,1994
present,v,제시하다,선물하다;발표하다,/prɪˈzent/,B1,middle,13,2014;2016;2017;2019;2020;2021;2022;2023,1996
ambiguous,adj,모호한,애매한,/æmˈbɪɡjuəs/,C1,high_extended,2,2019;2023,2019
arbitrary,adj,임의의,자의적인,/ˈɑːrbɪtreri/,C1,high_extended,3,2018;2021;2024,2018
benevolent,adj,자비로운,호의적인,/bəˈnevələnt/,C1,high_extended,1,2022,2022
diligent,adj,근면한,성실한,/ˈdɪlɪdʒənt/,B2,middle,0,,
hometown,n,고향,,/ˈhoʊmtaʊn/,A2,elementary,0,,
