Word,Rank,Band,SFI,U
priest,1,1,71.26,1337.66
sin,2,1,71.00,1260
temple,3,1,70.08,1018
heaven,4,1,69.46,884
prophet,5,1,68.53,712
altar,6,1,68.18,658
sword,7,1,68.12,649
descendant,8,1,67.83,606
holy,9,1,67.69,587
sacrifice,10,1,67.55,568
wicked,11,1,67.34,542
kingdom,12,1,67.29,536
tribe,13,1,67.17,521
covenant,14,1,67.00,501
ancestor,15,1,66.79,477
whoever,16,1,66.53,449
angel,17,1,66.51,448
disciple,18,1,66.42,439
righteous,19,1,66.37,433
glory,20,1,66.29,426
clan,21,1,66.20,417
cubit,22,1,66.20,417
reign,23,1,66.01,399
inheritance,24,1,65.56,360
worship,25,1,65.51,355
flee,26,1,65.36,344
ark,27,1,65.23,333
psalm,28,1,64.99,316
righteousness,29,1,64.93,311
curse,30,1,64.83,304
decree,31,1,64.83,304
idol,32,1,64.83,304
unclean,33,1,64.83,304
wisdom,34,1,64.83,304
commander,35,1,64.76,300
obey,36,1,64.76,300
flock,37,1,64.68,294
bow,38,1,64.66,292
elder,39,1,64.63,291
rejoice,40,1,64.50,282
wrath,41,1,64.41,276
lord,42,1,64.39,275
dwell,43,1,64.36,273
throne,44,1,64.34,272
sanctuary,45,1,64.22,264
mighty,46,1,64.10,257
proclaim,47,1,64.10,257
ruler,48,1,64.05,254
bull,49,1,64.00,251
flesh,50,1,63.97,250
palace,51,1,63.97,250
goat,52,1,63.95,248
assembly,53,1,63.92,247
chariot,54,1,63.92,247
ram,55,1,63.84,242
wilderness,56,1,63.84,242
lamb,57,1,63.82,241
born,58,1,63.74,236
bronze,59,1,63.74,236
weep,60,1,63.74,236
foreigner,61,1,63.65,232
donkey,62,1,63.52,225
defile,63,1,63.49,223
heal,64,1,63.49,223
incense,65,1,63.49,223
olive,66,1,63.46,222
shekel,67,1,63.40,219
prophesy,68,1,63.34,216
anoint,69,1,63.13,206
forgive,70,1,63.10,204
shame,71,1,63.10,204
prayer,72,1,63.07,203
oath,73,1,63.04,201
scatter,74,1,62.97,198
lion,75,1,62.94,197
plunder,76,1,62.94,197
deed,77,1,62.91,195
mourn,78,1,62.91,195
firstborn,79,1,62.87,194
sacred,80,1,62.84,192
mercy,81,1,62.77,189
exile,82,1,62.74,188
vineyard,83,1,62.57,181
garment,84,1,62.53,179
endure,85,1,62.50,178
trumpet,86,1,62.46,176
grace,87,1,62.35,172
perish,88,1,62.35,172
slaughter,89,1,62.35,172
shepherd,90,1,62.28,169
harvest,91,1,62.24,167
messenger,92,1,62.24,167
tabernacle,93,1,62.20,166
punish,94,1,62.16,164
faithful,95,1,62.12,163
salvation,96,1,62.12,163
authority,97,1,62.08,162
distress,98,1,62.08,162
prince,99,1,62.08,162
wickedness,100,1,62.08,162
guilt,101,1,62.04,160
horn,102,1,62.00,159
woe,103,1,62.00,159
robe,104,1,61.96,157
detestable,105,1,61.92,156
linen,106,1,61.92,156
famine,107,1,61.88,154
preach,108,1,61.84,153
shield,109,1,61.84,153
atonement,110,1,61.80,151
consecrate,111,1,61.80,151
exalt,112,1,61.75,150
rebuke,113,1,61.71,148
summon,114,1,61.71,148
forsake,115,1,61.67,147
plague,116,1,61.67,147
beast,117,1,61.62,145
boast,118,1,61.62,145
ox,119,1,61.62,145
widow,120,1,61.58,144
devour,121,1,61.54,142
fellowship,122,1,61.54,142
refuge,123,1,61.49,141
tremble,124,1,61.49,141
gospel,125,1,61.45,139
seize,126,1,61.45,139
redeem,127,1,61.31,135
warrior,128,1,61.31,135
pole,129,1,61.26,134
stumble,130,1,61.26,134
cherub,131,1,61.16,131
pillar,132,1,61.16,131
rebel,133,1,61.11,129
livestock,134,1,61.06,128
terror,135,1,61.01,126
apostle,136,1,60.96,125
despise,137,1,60.96,125
tomb,138,1,60.96,125
disgrace,139,1,60.91,123
testify,140,1,60.91,123
crush,141,1,60.86,122
desolate,142,1,60.86,122
oppress,143,1,60.86,122
humble,144,1,60.81,120
rebuild,145,1,60.81,120
vow,146,1,60.81,120
assemble,147,1,60.70,117
noble,148,1,60.70,117
cattle,149,1,60.64,116
demon,150,1,60.64,116
eternal,151,1,60.64,116
cedar,152,1,60.59,115
courtyard,153,1,60.59,115
herd,154,1,60.53,113
prostitute,155,1,60.53,113
cleanse,156,1,60.48,112
scroll,157,1,60.48,112
splendor,158,1,60.48,112
deceive,159,1,60.42,110
testimony,160,1,60.42,110
slay,161,1,60.36,109
treasure,162,1,60.36,109
crown,163,1,60.30,107
compassion,164,1,60.24,106
pit,165,1,60.24,106
vine,166,1,60.24,106
everlasting,167,1,60.18,104
fig,168,1,60.18,104
upright,169,1,60.18,104
baptize,170,1,60.12,103
condemn,171,1,60.12,103
clothe,172,1,60.06,101
lamp,173,1,60.06,101
sow,174,1,60.06,101
captive,175,1,59.99,100
faithfulness,176,1,59.99,100
flour,177,1,59.99,100
grave,178,1,59.99,100
loaf,179,1,59.99,100
spear,180,1,59.99,100
synagogue,181,1,59.99,100
wail,182,1,59.99,100
yoke,183,1,59.93,98
kindness,184,1,59.86,97
repay,185,1,59.86,97
accordance,186,1,59.80,95
circumcise,187,1,59.80,95
fortify,188,1,59.80,95
sprinkle,189,1,59.80,95
arrow,190,1,59.73,94
offspring,191,1,59.73,94
remnant,192,1,59.73,94
womb,193,1,59.73,94
foe,194,1,59.66,93
sinner,195,1,59.66,93
terrify,196,1,59.66,93
camel,197,1,59.59,91
defect,198,1,59.59,91
fortress,199,1,59.59,91
honey,200,1,59.59,91
inquire,201,1,59.59,91
unfaithful,202,1,59.59,91
arouse,203,1,59.52,90
bound,204,1,59.52,90
calf,205,1,59.52,90
mankind,206,1,59.52,90
roar,207,1,59.52,90
shed,208,1,59.52,90
feast,209,1,59.38,87
jar,210,1,59.38,87
punishment,211,1,59.38,87
thresh,212,1,59.38,87
cloak,213,1,59.23,84
rod,214,1,59.23,84
trample,215,1,59.23,84
yeast,216,1,59.23,84
blameless,217,1,59.15,82
needy,218,1,59.15,82
adultery,219,1,59.07,81
believer,220,1,58.99,79
fierce,221,1,58.99,79
grape,222,1,58.99,79
hungry,223,1,58.99,79
purify,224,1,58.99,79
afflict,225,1,58.91,78
inhabitant,226,1,58.91,78
wither,227,1,58.91,78
crucify,228,1,58.83,76
instruct,229,1,58.83,76
pronounce,230,1,58.83,76
stronghold,231,1,58.83,76
inherit,232,1,58.74,75
overtake,233,1,58.74,75
parable,234,1,58.74,75
pastureland,235,1,58.74,75
pledge,236,1,58.74,75
purple,237,1,58.74,75
siege,238,1,58.74,75
snare,239,1,58.74,75
glorious,240,1,58.66,73
heap,241,1,58.66,73
mock,242,1,58.66,73
mortal,243,1,58.66,73
overlay,244,1,58.66,73
pasture,245,1,58.66,73
prophecy,246,1,58.66,73
realm,247,1,58.66,73
reside,248,1,58.66,73
astray,249,1,58.57,72
beg,250,1,58.57,72
betray,251,2,58.57,72
ephod,252,2,58.57,72
sackcloth,253,2,58.57,72
scarlet,254,2,58.57,72
scorn,255,2,58.57,72
harp,256,2,58.48,70
lampstand,257,2,58.48,70
precious,258,2,58.48,70
riches,259,2,58.48,70
thunder,260,2,58.48,70
worthy,261,2,58.48,70
anguish,262,2,58.39,69
ephah,263,2,58.39,69
repent,264,2,58.39,69
