word,total_occ,book_count,sample_sentence
alice,404,2,"Alice's Evidence CHAPTER I. Down the Rabbit-Hole Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her"
jane,293,2,"Lizzy is not a bit better than the others: and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia."
soon,281,3,"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes."""
wish,268,3,"Mary wished to say something very sensible, but knew not how."
speak,263,3,"""Now, Kitty, you may cough as much as you choose,"" said Mr. Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife."
ask,248,3,asked Holmes.
oh,228,3,"""Oh, single, my dear, to be sure!"
manner,175,3,It was then disclosed in the following manner.
reply,175,3,Mr. Bennet replied that he had not.
talk,175,3,"Nonsense, how can you talk so!"
sir,164,3,"Sir William and Lady Lucas are determined to go, merely on that account; for in general, you know, they visit no new comers."
certainly,132,3,"I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now."
gentleman,130,2,_]] being gone to London only to get a large party for the ball; and a report soon followed that Mr. Bingley was to bring twelve ladies and seven gentlemen with him to the assembly.
catherine,129,2,"Mary had heard herself mentioned to Miss Bingley as the most accomplished girl in the neighbourhood; and Catherine and Lydia had been fortunate enough to be never without partners, which was all that "
large,123,3,"I did so, and saw a large ""E"" with a small ""g,"" a ""P,"" and a large ""G"" with a small ""t"" woven into the texture of the paper."
attention,123,2,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien, and the report, which "
wait,121,3,"He appeared to be in a great hurry, shouted to the cabman to wait, and brushed past the maid who opened the door with the air of a man who was thoroughly at home."
hardly,108,3,"With hardly a word spoken, but with a kindly eye, he waved me to an armchair, threw across his case of cigars, and indicated a spirit case and a gasogene in the corner."
london,98,3,_]] being gone to London only to get a large party for the ball; and a report soon followed that Mr. Bingley was to bring twelve ladies and seven gentlemen with him to the assembly.
colonel,96,2,"""What does Mr. Darcy mean,"" said she to Charlotte, ""by listening to my conversation with Colonel Forster?"""
continue,95,3,"""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr. Bingley."""
everything,94,3,"One cannot wonder that so very fine a young man, with family, fortune, everything in his favour, should think highly of himself."
read,93,3,"For you are a young lady of deep reflection, I know, and read great books, and make extracts."""
people,88,3,"Mr. Bingley had soon made himself acquainted with all the principal people in the room: he was lively and unreserved, danced every dance, was angry that the ball closed so early, and talked of giving "
remember,86,3,"As I passed the well-remembered door, which must always be associated in my mind with my wooing, and with the dark incidents of the Study in Scarlet, I was seized with a keen desire to see Holmes agai"
conversation,84,3,"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr. Darcy had been standing near enough for her to overhear a conversation be"
remain,84,3,Mr. Darcy walked off; and Elizabeth remained with no very cordial feelings towards him.
sort,83,3,"It seems to me to show an abominable sort of conceited independence, a most country-town indifference to decorum."""
watson,82,2,"""I think, Watson, that you have put on seven and a half pounds since I saw you."""
others,80,3,"Lizzy is not a bit better than the others: and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia."
glance,78,3,"Let us glance at our Continental Gazetteer."""
mention,74,3,"I have heard you mention them with consideration these twenty years at least."""
silence,73,3,"Elizabeth listened in silence, but was not convinced: their behaviour at the assembly had not been calculated to please in general; and with more quickness of observation and less pliancy of temper th"
join,70,3,"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr. Darcy had been standing near enough for her to overhear a conversation be"
use,68,3,"Accustomed as I was to my friend's amazing powers in the use of disguises, I had to look three times before I was certain that it was indeed he."
i'm,65,3,"There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know."
mary,65,3,"What say you, Mary?"
ought,65,3,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty."""
perfectly,64,3,"Of this she was perfectly unaware: to her he was only the man who made himself agreeable nowhere, and who had not thought her handsome enough to dance with."
forget,63,3,"""But you forget, mamma,"" said Elizabeth, ""that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him."""
general,63,3,"Sir William and Lady Lucas are determined to go, merely on that account; for in general, you know, they visit no new comers."
new,62,3,He had risen out of his drug-created dreams and was hot upon the scent of some new problem.
strange,62,3,"""And I."" ""You will excuse this mask,"" continued our strange visitor."
thank,62,3,"Elizabeth thanked him from her heart, and then walked towards a table where a few books were lying."
engage,61,3,"""It is more than I engage for, I assure you."""
particular,61,3,"Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters."
endeavor,59,2,"""But if a woman is partial to a man, and does not endeavor to conceal it, he must find it out."""
william,58,3,"Sir William and Lady Lucas are determined to go, merely on that account; for in general, you know, they visit no new comers."
circumstance,57,3,They were of a respectable family in the north of England; a circumstance more deeply impressed on their memories than that their brother's fortune and their own had been acquired by trade.
explain,57,3,I could not help laughing at the ease with which he explained his process of deduction.
longer,57,3,"""I am no longer surprised at your knowing _only_ six accomplished women."
thought,56,3,"Mr. Darcy stood near them in silent indignation at such a mode of passing the evening, to the exclusion of all conversation, and was too much engrossed by his own thoughts to perceive that Sir William"
regard,56,2,"On the strength of Darcy's regard, Bingley had the firmest reliance, and of his judgment the highest opinion."
sense,54,3,"With _your_ good sense, to be so honestly blind to the follies and nonsense of others!"
instantly,53,3,"And, taking her hand, he would have given it to Mr. Darcy, who, though extremely surprised, was not unwilling to receive it, when she instantly drew back, and said with some discomposure to Sir Willia"
george,53,2,"[Illustration: ""He came down to see the place"" [_Copyright 1894 by George Allen."
prevent,52,3,"Mrs. Bennet was prevented replying by the entrance of the footman with a note for Miss Bennet; it came from Netherfield, and the servant waited for an answer."
